model,RMSE,MAE,R2
GRU_Adyar,0.6542719035014314,0.5417907502658964,0.7859961862241672
GRU_Anna Nagar,0.6179166859731726,0.5084742712260077,0.2713252280875271
GRU_Avadi,0.8773416612836604,0.7275500294229165,-61.504468278485746
GRU_Chromepet,0.9178878725592319,0.7325091787624121,0.723642252166711
GRU_Manali,2.613691391516756,2.5401191464967074,-1821.2551036815887
GRU_Perambur,0.4260864876571946,0.3562063510725468,-0.20211787289882377
GRU_Porur,0.6759414043131945,0.575178843940444,0.7532939593155441
GRU_Sholinganallur,2.017420117693724,1.8493379835235741,-1.6017290962108044
GRU_Tambaram,0.7740839922845654,0.6608596312672445,-20.895847211757328
GRU_Velachery,4.469150921066168,4.135530193850187,-2.554466214718524
