model,RMSE,MAE,R2
ARIMA_Adyar,0.5095908909248362,0.4917746819048206,-27.540852660156858
ARIMA_Anna Nagar,0.07415454013102458,0.05917383060938504,-3.3238679871709778
ARIMA_Avadi,1.2351394471867136,1.0841822765785027,-7.602753029554345
ARIMA_Chromepet,0.09020156000007765,0.05808953199122146,0.04065081534981452
ARIMA_Manali,0.6435434113403521,0.5550273513943506,-2.6283078840125516
ARIMA_Perambur,0.4180087515480183,0.3894703928637618,-34.2178553342606
ARIMA_Porur,0.4837002862785498,0.4729533197887969,-208.39169756469605
ARIMA_Sholinganallur,0.4473421117500321,0.4137984423892669,-28.71660745998239
ARIMA_Tambaram,0.8226470009351747,0.6969087880605604,-6.697693608921136
ARIMA_Velachery,0.2166360514632271,0.08119006441261008,-0.1288004052389018
